avg_trxn_amt,False Positives,False Negatives
266.38,323,0
452988.38,45,23
905710.38,33,30
1358432.38,25,32
1811154.38,21,32
2263876.38,15,32
2716598.38,12,33
3169320.38,9,33
3622042.38,8,33
4074764.38,8,34
4527486.38,8,34
4980208.38,6,34
5432930.38,6,34
5885652.38,6,35
6338374.38,6,37
6791096.38,6,37
7243818.38,6,37
7696540.38,6,37
8149262.38,6,38
8601984.38,6,40
9054706.38,6,40
9507428.38,6,40
9960150.38,6,40
10412872.38,6,40
10865594.38,6,40
11318316.38,6,40
11771038.38,6,40
12223760.38,5,40
12676482.38,4,41
13129204.38,4,41
13581926.38,4,41
14034648.38,3,41
14487370.38,3,41
14940092.38,3,41
15392814.38,3,41
15845536.38,3,41
16298258.38,3,41
16750980.38,3,41
17203702.38,3,41
17656424.38,3,41
18109146.38,3,41
18561868.38,3,41
19014590.38,3,41
19467312.38,3,41
19920034.38,3,41
20372756.38,3,41
20825478.38,3,41
21278200.38,3,41
21730922.38,3,41
22183644.38,3,41
22636366.38,3,42
23089088.38,3,42
23541810.38,3,42
23994532.38,3,42
24447254.38,3,42
24899976.38,3,42
25352698.38,3,42
25805420.38,3,42
26258142.38,3,42
26710864.38,3,42
27163586.38,3,42
27616308.38,2,42
28069030.38,2,42
28521752.38,2,42
28974474.38,2,42
29427196.38,2,42
29879918.38,2,42
30332640.38,2,42
30785362.38,2,42
31238084.38,2,42
31690806.38,2,42
32143528.38,2,42
32596250.38,2,43
33048972.38,2,43
33501694.38,2,43
33954416.38,2,43
34407138.38,2,43
34859860.38,2,43
35312582.38,2,43
35765304.38,2,43
36218026.38,2,43
36670748.38,2,43
37123470.38,2,43
37576192.38,2,43
38028914.38,2,43
38481636.38,2,43
38934358.38,2,43
39387080.38,2,43
39839802.38,1,43
40292524.38,1,44
40745246.38,1,44
41197968.38,1,44
41650690.38,1,44
42103412.38,1,44
42556134.38,1,44
43008856.38,1,44
43461578.38,1,44
43914300.38,1,44
44367022.38,1,44
44819744.38,1,44
45272466.38,1,44
45725188.38,0,44
